"Name","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BsR","Fld","WAR","playerid"
"Elias Diaz","1","1","0","0","0","0","0","0","0","0","0","0","0",".200",".251",".272",".523",".235","0.0","0.0","0.0","sa504943"
"Juan Torres","1","1","0","0","0","0","0","0","0","0","0","0","0",".198",".240",".291",".530",".235","0.0","0.0","0.0","sa455963"
"Martin Medina","1","1","0","0","0","0","0","0","0","0","0","0","0",".197",".247",".275",".523",".235","0.0","0.0","0.0","sa599196"
"Kenny Swab","1","1","0","0","0","0","0","0","0","0","0","0","0",".195",".243",".282",".524",".234","0.0","0.0","0.0","sa503721"
"Parker Morin","1","1","0","0","0","0","0","0","0","0","0","0","0",".203",".249",".273",".522",".234","0.0","0.0","0.0","sa658263"
"Carlos Lugo","1","1","0","0","0","0","0","0","0","0","0","0","0",".192",".249",".271",".520",".234","0.0","0.0","0.0","sa505257"
"Chris O'Brien","1","1","0","0","0","0","0","0","0","0","0","0","0",".194",".241",".280",".522",".233","0.0","0.0","0.0","sa526558"
"Brent Tanner","1","1","0","0","0","0","0","0","0","0","0","0","0",".191",".244",".276",".520",".233","0.0","0.0","0.0","sa599493"
"Anthony Aguilera","1","1","0","0","0","0","0","0","0","0","0","0","0",".199",".244",".280",".524",".233","0.0","0.0","0.0","sa549611"
"Kyle Lafrenz","1","1","0","0","0","0","0","0","0","0","0","0","0",".198",".241",".284",".525",".233","0.0","0.0","0.0","sa502129"
"Hector Rabago","1","1","0","0","0","0","0","0","0","0","0","0","0",".193",".242",".280",".522",".233","0.0","0.0","0.0","sa502071"
"Abel Baker","1","1","0","0","0","0","0","0","0","0","0","0","0",".199",".242",".280",".522",".233","0.0","0.0","0.0","sa599395"
"Rogelio Del Campo","1","1","0","0","0","0","0","0","0","0","0","0","0",".192",".244",".278",".521",".233","0.0","0.0","0.0","sa329327"
"Eric Smith","1","1","0","0","0","0","0","0","0","0","0","0","0",".196",".250",".267",".517",".232","0.0","0.0","0.0","sa658396"
"Benjamin Turner","1","1","0","0","0","0","0","0","0","0","0","0","0",".212",".244",".278",".523",".232","0.0","0.0","0.0","sa658602"
"Willson Contreras","1","1","0","0","0","0","0","0","0","0","0","0","0",".199",".238",".283",".521",".232","0.0","0.0","0.0","sa508176"
"Joe Staley","1","1","0","0","0","0","0","0","0","0","0","0","0",".189",".246",".268",".514",".232","0.0","0.0","0.0","sa548551"
"Leonardo Rodriguez","1","1","0","0","0","0","0","0","0","0","0","0","0",".200",".248",".269",".517",".232","0.0","0.0","0.0","sa508189"
